TRANSMITPACKET,1,2,0.000000,10.120000,OSPF_HELLO,2,
TRANSMITPACKET,2,1,0.000000,10.120000,OSPF_HELLO,2,
TRANSMITPACKET,1,4,6881.000000,8769.000000,DIO,2,
TRANSMITPACKET,1,5,6881.000000,8769.000000,DIO,2,
TRANSMITPACKET,1,7,6881.000000,8769.000000,DIO,2,
TRANSMITPACKET,4,1,10369.000000,12129.000000,DAO,1,
TRANSMITPACKET,7,1,13377.000000,15137.000000,DAO,2,
TRANSMITPACKET,4,1,16186.000000,18074.000000,DIO,1,
TRANSMITPACKET,4,6,16186.000000,18074.000000,DIO,2,
TRANSMITPACKET,4,7,16186.000000,18074.000000,DIO,1,
TRANSMITPACKET,5,8,16802.000000,18690.000000,DIO,2,
TRANSMITPACKET,6,4,18714.000000,20474.000000,DAO,1,
TRANSMITPACKET,1,5,19011.000000,20899.000000,DIO,2,
TRANSMITPACKET,1,7,19011.000000,20899.000000,DIO,1,
TRANSMITPACKET,8,5,20930.000000,22690.000000,DAO,2,
TRANSMITPACKET,6,4,23393.000000,25281.000000,DIO,1,
TRANSMITPACKET,7,1,23460.000000,25348.000000,DIO,2,
TRANSMITPACKET,7,5,23460.000000,25348.000000,DIO,2,
TRANSMITPACKET,7,8,23460.000000,25348.000000,DIO,2,
TRANSMITPACKET,5,1,25988.000000,27748.000000,DAO,2,
TRANSMITPACKET,8,7,25989.000000,27877.000000,DIO,1,
TRANSMITPACKET,4,1,30681.000000,32569.000000,DIO,2,
TRANSMITPACKET,4,6,30681.000000,32569.000000,DIO,2,
TRANSMITPACKET,4,7,30681.000000,32569.000000,DIO,1,
TRANSMITPACKET,7,1,33799.000000,35687.000000,DIO,2,
TRANSMITPACKET,7,4,33799.000000,35687.000000,DIO,2,
TRANSMITPACKET,7,5,33799.000000,35687.000000,DIO,1,
TRANSMITPACKET,7,6,33799.000000,35687.000000,DIO,2,
TRANSMITPACKET,5,1,36328.000000,38216.000000,DIO,2,
TRANSMITPACKET,5,7,36328.000000,38216.000000,DIO,1,
TRANSMITPACKET,5,8,36328.000000,38216.000000,DIO,2,
TRANSMITPACKET,6,4,41255.000000,43143.000000,DIO,2,
TRANSMITPACKET,6,7,41255.000000,43143.000000,DIO,1,
TRANSMITPACKET,8,5,43084.000000,44972.000000,DIO,2,
TRANSMITPACKET,4,1,44104.000000,45864.000000,DAO,1,
TRANSMITPACKET,5,7,45613.000000,47501.000000,DIO,1,
TRANSMITPACKET,5,8,45613.000000,47501.000000,DIO,2,
TRANSMITPACKET,4,1,48105.000000,49993.000000,DIO,2,
TRANSMITPACKET,4,6,48105.000000,49993.000000,DIO,2,
TRANSMITPACKET,4,7,48105.000000,49993.000000,DIO,2,
TRANSMITPACKET,7,1,54269.000000,56157.000000,DIO,2,
TRANSMITPACKET,7,4,54269.000000,56157.000000,DIO,2,
TRANSMITPACKET,7,5,54269.000000,56157.000000,DIO,2,
TRANSMITPACKET,7,6,54269.000000,56157.000000,DIO,2,
TRANSMITPACKET,7,8,54269.000000,56157.000000,DIO,2,
TRANSMITPACKET,4,1,57438.000000,59326.000000,DIO,2,
TRANSMITPACKET,4,6,57438.000000,59326.000000,DIO,2,
TRANSMITPACKET,4,7,57438.000000,59326.000000,DIO,2,
TRANSMITPACKET,6,4,59967.000000,61855.000000,DIO,1,
TRANSMITPACKET,6,7,59967.000000,61855.000000,DIO,1,
TRANSMITPACKET,1,5,60607.000000,62495.000000,DIO,2,
TRANSMITPACKET,5,1,73643.000000,75531.000000,DIO,2,
TRANSMITPACKET,5,7,73643.000000,75531.000000,DIO,2,
TRANSMITPACKET,5,8,73643.000000,75531.000000,DIO,2,
TRANSMITPACKET,8,5,82365.000000,84253.000000,DIO,2,
TRANSMITPACKET,8,7,82365.000000,84253.000000,DIO,2,
TRANSMITPACKET,4,1,85320.000000,87208.000000,DIO,2,
TRANSMITPACKET,4,6,85320.000000,87208.000000,DIO,2,
TRANSMITPACKET,4,7,85320.000000,87208.000000,DIO,2,
TRANSMITPACKET,6,4,91249.000000,93137.000000,DIO,2,
TRANSMITPACKET,6,7,91249.000000,93137.000000,DIO,2,
TRANSMITPACKET,1,4,102901.000000,104789.000000,DIO,2,
TRANSMITPACKET,1,5,102901.000000,104789.000000,DIO,2,
TRANSMITPACKET,1,7,102901.000000,104789.000000,DIO,2,
TRANSMITPACKET,7,1,118243.000000,120131.000000,DIO,2,
TRANSMITPACKET,7,4,118243.000000,120131.000000,DIO,2,
TRANSMITPACKET,7,5,118243.000000,120131.000000,DIO,2,
TRANSMITPACKET,7,6,118243.000000,120131.000000,DIO,2,
TRANSMITPACKET,7,8,118243.000000,120131.000000,DIO,2,
TRANSMITPACKET,5,1,125517.000000,127405.000000,DIO,2,
TRANSMITPACKET,5,7,125517.000000,127405.000000,DIO,2,
TRANSMITPACKET,5,8,125517.000000,127405.000000,DIO,2,
TRANSMITPACKET,8,5,136656.000000,138544.000000,DIO,2,
TRANSMITPACKET,8,7,136656.000000,138544.000000,DIO,1,
TRANSMITPACKET,6,4,137568.000000,139456.000000,DIO,2,
TRANSMITPACKET,4,1,150502.000000,152390.000000,DIO,2,
TRANSMITPACKET,4,6,150502.000000,152390.000000,DIO,2,
TRANSMITPACKET,4,7,150502.000000,152390.000000,DIO,2,
TRANSMITPACKET,1,4,199292.000000,201180.000000,DIO,2,
TRANSMITPACKET,1,5,199292.000000,201180.000000,DIO,2,
TRANSMITPACKET,1,7,199292.000000,201180.000000,DIO,2,
TRANSMITPACKET,4,1,223792.000000,225680.000000,DIO,2,
