BATTERY,5,99.998587,8769.000000,,
BATTERY,5,99.998587,8769.000000,,
BATTERY,5,99.998309,10497.000000,,
BATTERY,5,99.997397,12450.000000,,
BATTERY,5,99.996727,16610.000000,,
BATTERY,5,99.995756,18691.000000,,
BATTERY,5,99.995705,19011.000000,,
BATTERY,5,99.994740,20899.000000,,
BATTERY,5,99.994735,20930.000000,,
BATTERY,5,99.993835,22690.000000,,
BATTERY,5,99.993407,25348.000000,,
BATTERY,5,99.993407,25348.000000,,
BATTERY,5,99.993335,25796.000000,,
BATTERY,5,99.992423,27749.000000,,
BATTERY,5,99.991144,35687.000000,,
BATTERY,5,99.991144,35687.000000,,
BATTERY,5,99.991072,36136.000000,,
BATTERY,5,99.990101,38217.000000,,
BATTERY,5,99.989317,43084.000000,,
BATTERY,5,99.988352,44972.000000,,
BATTERY,5,99.988279,45421.000000,,
BATTERY,5,99.987308,47502.000000,,
BATTERY,5,99.985914,56157.000000,,
BATTERY,5,99.985914,56157.000000,,
BATTERY,5,99.985197,60607.000000,,
BATTERY,5,99.984232,62495.000000,,
BATTERY,5,99.982467,73451.000000,,
BATTERY,5,99.981496,75532.000000,,
BATTERY,5,99.980395,82365.000000,,
BATTERY,5,99.979430,84253.000000,,
BATTERY,5,99.976121,104789.000000,,
BATTERY,5,99.976121,104789.000000,,
BATTERY,5,99.973649,120131.000000,,
BATTERY,5,99.973649,120131.000000,,
BATTERY,5,99.972813,125325.000000,,
BATTERY,5,99.971841,127406.000000,,
BATTERY,5,99.970351,136656.000000,,
BATTERY,5,99.969386,138544.000000,,
BATTERY,5,99.959295,201180.000000,,
BATTERY,5,99.959295,201180.000000,,
BATTERY,5,99.952677,242255.000000,,
BATTERY,5,99.951712,244143.000000,,
BATTERY,5,99.951202,247312.000000,,
BATTERY,5,99.951202,247312.000000,,
BATTERY,5,99.951181,247441.000000,,
BATTERY,5,99.950210,249522.000000,,
BATTERY,5,99.923660,414311.000000,,
BATTERY,5,99.922689,416392.000000,,
BATTERY,5,99.922145,419773.000000,,
BATTERY,5,99.921180,421661.000000,,
BATTERY,5,99.916684,449566.000000,,
BATTERY,5,99.916684,449566.000000,,
BATTERY,5,99.910046,490766.000000,,
BATTERY,5,99.910046,490766.000000,,
BATTERY,5,99.858433,811125.000000,,
BATTERY,5,99.857461,813206.000000,,
BATTERY,5,99.856848,817014.000000,,
BATTERY,5,99.856848,817014.000000,,
BATTERY,5,99.849415,863148.000000,,
BATTERY,5,99.848450,865036.000000,,
BATTERY,5,99.825152,1009645.506729,,
BATTERY,5,99.824241,1011598.506729,,
BATTERY,5,99.823527,1016031.400067,,
BATTERY,5,99.823527,1016031.400067,,
BATTERY,5,99.821369,1029424.506729,,
BATTERY,5,99.820457,1031377.506729,,
BATTERY,5,99.725971,1617844.000000,,
BATTERY,5,99.725006,1619732.000000,,
BATTERY,5,99.721978,1638526.000000,,
BATTERY,5,99.721978,1638526.000000,,
BATTERY,5,99.692910,1818951.000000,,
BATTERY,5,99.691939,1821032.000000,,
BATTERY,5,99.662172,2005790.000000,,
BATTERY,5,99.662172,2005790.000000,,
BATTERY,5,99.661585,2009434.013459,,
BATTERY,5,99.660674,2011387.013459,,
BATTERY,5,99.657338,2032093.013459,,
BATTERY,5,99.656426,2034046.013459,,
BATTERY,5,99.499314,3009222.520188,,
BATTERY,5,99.498403,3011175.520188,,
BATTERY,5,99.495686,3028041.520188,,
BATTERY,5,99.494774,3029994.520188,,
BATTERY,5,99.476815,3141463.000000,,
BATTERY,5,99.475844,3143544.000000,,
BATTERY,5,99.440347,3363870.000000,,
BATTERY,5,99.440347,3363870.000000,,
BATTERY,5,99.422541,3474392.000000,,
BATTERY,5,99.421576,3476280.000000,,
BATTERY,5,99.335747,4009011.026917,,
BATTERY,5,99.334836,4010964.026917,,
BATTERY,5,99.331861,4029430.026917,,
BATTERY,5,99.330949,4031383.026917,,
BATTERY,5,99.329453,4040669.600269,,
BATTERY,5,99.329453,4040669.600269,,
BATTERY,5,99.173322,5009759.533647,,
BATTERY,5,99.172411,5011712.533647,,
BATTERY,5,99.169539,5029538.533647,,
BATTERY,5,99.168627,5031491.533647,,
BATTERY,5,99.011361,6007628.040376,,
BATTERY,5,99.010449,6009581.040376,,
BATTERY,5,99.007423,6028367.040376,,
BATTERY,5,99.006511,6030320.040376,,
BATTERY,5,98.935992,6468025.000000,,
BATTERY,5,98.935021,6470106.000000,,
BATTERY,5,98.848093,7009656.547105,,
BATTERY,5,98.847182,7011609.547105,,
BATTERY,5,98.845187,7023995.547105,,
BATTERY,5,98.844275,7025948.547105,,
BATTERY,5,98.838653,7060846.000000,,
BATTERY,5,98.838653,7060846.000000,,
BATTERY,5,98.734496,7707338.000000,,
BATTERY,5,98.734496,7707338.000000,,
BATTERY,5,98.722812,7779858.000000,,
BATTERY,5,98.721847,7781746.000000,,
BATTERY,5,98.685471,8007525.053835,,
BATTERY,5,98.684560,8009478.053835,,
BATTERY,5,98.681430,8028904.053835,,
BATTERY,5,98.680519,8030857.053835,,
BATTERY,5,98.523252,9006993.560564,,
BATTERY,5,98.522341,9008946.560564,,
BATTERY,5,98.519057,9029332.560564,,
BATTERY,5,98.518145,9031285.560564,,
BATTERY,5,98.360776,10008062.067293,,
BATTERY,5,98.359864,10010015.067293,,
BATTERY,5,98.357044,10027521.067293,,
BATTERY,5,98.356133,10029474.067293,,
BATTERY,5,98.198660,11006890.574023,,
BATTERY,5,98.197748,11008843.574023,,
BATTERY,5,98.194825,11026989.574023,,
BATTERY,5,98.193914,11028942.574023,,
